epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.683,1.51236,2.04317,1.64229,0.50552,0.50568,0.48595,0.22844,1.7161,2.32626,1.92074,0.00065625,0.00065625,0.00065625
2,1311.1,1.52751,1.71962,1.60466,0.34541,0.46591,0.29414,0.11609,1.8148,4.73305,2.09206,0.00130982,0.00130982,0.00130982
3,1930.55,1.55985,1.68452,1.63343,0.33719,0.38636,0.27462,0.08906,2.30593,4.10682,2.48869,0.00195019,0.00195019,0.00195019
4,2583.54,1.5278,1.64659,1.6411,0.32896,0.51705,0.33918,0.14359,2.01131,2.6023,2.06722,0.0019406,0.0019406,0.0019406
5,3214.23,1.56967,1.58269,1.63312,0.4756,0.67045,0.4704,0.24202,1.6164,1.6875,1.7035,0.0019208,0.0019208,0.0019208
6,3850.05,1.49623,1.55011,1.59907,0.64412,0.69886,0.6518,0.33056,1.62502,1.57201,1.74853,0.001901,0.001901,0.001901
7,4450.04,1.4243,1.47185,1.5597,0.67022,0.67045,0.701,0.34144,1.62941,1.43353,1.69553,0.0018812,0.0018812,0.0018812
8,5011.95,1.43618,1.42451,1.54684,0.69532,0.80394,0.712,0.3522,1.60637,1.52165,1.67272,0.0018614,0.0018614,0.0018614
9,5604.58,1.41643,1.41543,1.52192,0.71628,0.83198,0.73357,0.40782,1.47061,1.32759,1.617,0.0018416,0.0018416,0.0018416
10,6184.63,1.38228,1.39308,1.50712,0.75312,0.74531,0.74685,0.40208,1.59468,1.36708,1.66705,0.0018218,0.0018218,0.0018218
11,6777.8,1.36287,1.35507,1.4936,0.60854,0.73864,0.66978,0.369,1.42483,1.34987,1.53896,0.001802,0.001802,0.001802
12,7330.99,1.37348,1.38285,1.50786,0.63051,0.73864,0.64306,0.36742,1.45413,1.40487,1.59592,0.0017822,0.0017822,0.0017822
13,7886,1.30106,1.3125,1.4779,0.68071,0.81818,0.71534,0.4374,1.33812,1.23507,1.55778,0.0017624,0.0017624,0.0017624
14,11535.4,1.30582,1.30583,1.45729,0.73309,0.84659,0.76318,0.45874,1.38165,1.16566,1.50617,0.0017426,0.0017426,0.0017426
15,12081.1,1.29515,1.29126,1.46439,0.76348,0.85227,0.77208,0.45691,1.36425,1.13194,1.49087,0.0017228,0.0017228,0.0017228
16,12621.9,1.30078,1.30503,1.47306,0.68357,0.81011,0.69654,0.38738,1.48045,1.2958,1.63031,0.001703,0.001703,0.001703
17,13162.2,1.31156,1.28473,1.46004,0.62004,0.84091,0.7141,0.43812,1.3707,1.20884,1.53099,0.0016832,0.0016832,0.0016832
18,13707.4,1.2899,1.23798,1.44687,0.77631,0.88736,0.82874,0.5143,1.35781,1.02992,1.46856,0.0016634,0.0016634,0.0016634
19,14286.9,1.2863,1.2518,1.43721,0.72698,0.84724,0.7676,0.45152,1.40198,1.0886,1.50927,0.0016436,0.0016436,0.0016436
20,14914.7,1.2938,1.24564,1.45735,0.71883,0.8125,0.76261,0.44185,1.45007,1.13977,1.53388,0.0016238,0.0016238,0.0016238
21,19073.7,1.23808,1.17347,1.39729,0.76679,0.86932,0.77873,0.44365,1.42828,1.11393,1.54582,0.001604,0.001604,0.001604
22,19731.3,1.26646,1.20746,1.43536,0.79122,0.83976,0.78534,0.49196,1.33097,1.11959,1.49569,0.0015842,0.0015842,0.0015842
23,20459.7,1.23707,1.20359,1.4251,0.72627,0.85227,0.75969,0.45996,1.35427,1.05378,1.4478,0.0015644,0.0015644,0.0015644
24,21532,1.22737,1.18424,1.39906,0.7325,0.86932,0.74968,0.47012,1.33423,1.08452,1.47416,0.0015446,0.0015446,0.0015446
25,22175.9,1.23085,1.19551,1.41352,0.78306,0.88191,0.78452,0.49562,1.28597,0.99922,1.39142,0.0015248,0.0015248,0.0015248
26,22854,1.21889,1.18981,1.40875,0.77907,0.875,0.78873,0.46354,1.314,1.08466,1.42351,0.001505,0.001505,0.001505
27,23604.8,1.19208,1.16367,1.38175,0.71036,0.82386,0.78184,0.45946,1.32025,1.11345,1.43647,0.0014852,0.0014852,0.0014852
28,24460.3,1.22005,1.14762,1.39053,0.73448,0.86442,0.78352,0.4768,1.31136,1.04169,1.43259,0.0014654,0.0014654,0.0014654
29,25312,1.20775,1.1735,1.40146,0.762,0.88068,0.77755,0.49116,1.26986,1.03993,1.41711,0.0014456,0.0014456,0.0014456
30,26016,1.18192,1.15195,1.38011,0.77272,0.86932,0.80263,0.506,1.32263,1.0366,1.44329,0.0014258,0.0014258,0.0014258
31,41062.9,1.19269,1.15302,1.39054,0.78143,0.85318,0.80151,0.4449,1.4602,1.12149,1.5041,0.001406,0.001406,0.001406
32,41775.9,1.20741,1.16397,1.39887,0.74699,0.86364,0.78553,0.48217,1.28152,1.02496,1.41549,0.0013862,0.0013862,0.0013862
33,42512.9,1.17843,1.14879,1.38179,0.74748,0.89141,0.79389,0.49309,1.26978,0.96463,1.40794,0.0013664,0.0013664,0.0013664
34,43211.9,1.17976,1.12843,1.375,0.71021,0.89205,0.76024,0.47064,1.25349,1.01777,1.4118,0.0013466,0.0013466,0.0013466
35,43953.6,1.17336,1.13677,1.37008,0.81597,0.90691,0.82247,0.49162,1.30305,0.94011,1.43653,0.0013268,0.0013268,0.0013268
36,44667,1.13655,1.09832,1.34401,0.78787,0.90909,0.82504,0.52268,1.26402,0.91476,1.42333,0.001307,0.001307,0.001307
37,45535.5,1.14522,1.10914,1.35696,0.80292,0.85651,0.79321,0.48919,1.33618,0.92789,1.43474,0.0012872,0.0012872,0.0012872
38,46625,1.1468,1.09362,1.35021,0.79777,0.89205,0.79478,0.50991,1.23603,0.95609,1.36617,0.0012674,0.0012674,0.0012674
39,47466.2,1.15225,1.09119,1.35273,0.81036,0.87403,0.81291,0.51198,1.29283,0.95785,1.42875,0.0012476,0.0012476,0.0012476
40,48268.7,1.13461,1.11229,1.3602,0.77948,0.90378,0.80273,0.50471,1.26144,0.93538,1.40713,0.0012278,0.0012278,0.0012278
41,48992.2,1.12857,1.09259,1.34342,0.81173,0.88636,0.80528,0.51608,1.24372,0.97522,1.41691,0.001208,0.001208,0.001208
42,49693,1.11251,1.09002,1.34257,0.82094,0.88572,0.83791,0.54197,1.26972,0.91172,1.43003,0.0011882,0.0011882,0.0011882
43,50367,1.09981,1.04845,1.33158,0.82211,0.89276,0.83144,0.52546,1.25745,0.8829,1.38921,0.0011684,0.0011684,0.0011684
44,51030.3,1.1105,1.04287,1.33688,0.81218,0.90905,0.81859,0.51968,1.25668,0.89729,1.37833,0.0011486,0.0011486,0.0011486
45,51681.2,1.11093,1.0597,1.34011,0.76755,0.8818,0.78792,0.49878,1.21468,0.95844,1.40236,0.0011288,0.0011288,0.0011288
46,52333.6,1.10343,1.05916,1.33029,0.79563,0.85795,0.80069,0.53477,1.18398,0.93232,1.36671,0.001109,0.001109,0.001109
47,52981.5,1.10453,1.04241,1.3444,0.80446,0.89773,0.80611,0.51354,1.20554,0.89992,1.37759,0.0010892,0.0010892,0.0010892
48,53652.4,1.10052,1.01883,1.32547,0.81506,0.87641,0.80999,0.53208,1.22368,0.89092,1.39672,0.0010694,0.0010694,0.0010694
49,54344.9,1.08395,1.01959,1.3132,0.81041,0.89864,0.81413,0.53738,1.14751,0.91211,1.34973,0.0010496,0.0010496,0.0010496
50,55013.2,1.11141,1.05077,1.34495,0.82195,0.88068,0.81547,0.54024,1.18934,0.91407,1.36293,0.0010298,0.0010298,0.0010298
51,55665.5,1.08603,1.00105,1.3227,0.79934,0.86932,0.78447,0.50739,1.21622,0.94497,1.39274,0.00101,0.00101,0.00101
52,56327.7,1.05733,1.00259,1.30749,0.8263,0.89773,0.81221,0.53549,1.1909,0.87088,1.36043,0.0009902,0.0009902,0.0009902
53,56978.1,1.08553,1.0236,1.31977,0.79407,0.8764,0.78967,0.51645,1.22679,0.90332,1.3905,0.0009704,0.0009704,0.0009704
54,57627.1,1.06929,1.01913,1.30607,0.82439,0.90688,0.8358,0.53393,1.18721,0.86839,1.34484,0.0009506,0.0009506,0.0009506
55,58276.1,1.07749,1.01079,1.30738,0.79047,0.85738,0.8022,0.52095,1.18091,0.8931,1.3599,0.0009308,0.0009308,0.0009308
56,58966.2,1.06152,0.98964,1.31396,0.78721,0.88285,0.79721,0.52218,1.15563,0.89141,1.35852,0.000911,0.000911,0.000911
57,59728.6,1.05148,0.97105,1.29725,0.7803,0.85795,0.81343,0.54188,1.12732,0.88999,1.30827,0.0008912,0.0008912,0.0008912
58,60469,1.05092,0.99566,1.29911,0.77692,0.89773,0.79327,0.52085,1.16773,0.90981,1.38203,0.0008714,0.0008714,0.0008714
59,61213.1,1.03036,0.97027,1.27788,0.80912,0.88636,0.78745,0.52681,1.17414,0.87008,1.39158,0.0008516,0.0008516,0.0008516
60,61972.7,1.04828,0.97949,1.28228,0.80967,0.92045,0.82248,0.55145,1.1222,0.79351,1.33574,0.0008318,0.0008318,0.0008318
61,62715.9,1.01015,0.97533,1.27584,0.81837,0.86932,0.81753,0.5342,1.14076,0.87986,1.35285,0.000812,0.000812,0.000812
62,63480.5,1.02204,0.95947,1.28691,0.82373,0.88636,0.81353,0.53735,1.15407,0.81737,1.35305,0.0007922,0.0007922,0.0007922
63,64226.3,1.01822,0.9635,1.29075,0.824,0.88636,0.83688,0.55267,1.16351,0.82874,1.32763,0.0007724,0.0007724,0.0007724
64,64964,1.02289,0.9467,1.278,0.81925,0.88068,0.78584,0.52302,1.13816,0.9146,1.34608,0.0007526,0.0007526,0.0007526
65,87883.6,1.00177,0.95411,1.2669,0.8264,0.90341,0.8296,0.53724,1.15387,0.88824,1.31133,0.0007328,0.0007328,0.0007328
66,88585.7,1.03095,0.96785,1.28767,0.82548,0.8869,0.8238,0.53061,1.16703,0.83906,1.34865,0.000713,0.000713,0.000713
67,89304.5,0.99938,0.92722,1.26459,0.81128,0.86364,0.81453,0.54182,1.15706,0.84265,1.33517,0.0006932,0.0006932,0.0006932
68,90026.2,1.00208,0.92311,1.26128,0.82479,0.88636,0.82915,0.54771,1.11475,0.86837,1.321,0.0006734,0.0006734,0.0006734
69,90777.4,1.00912,0.96212,1.28022,0.82481,0.875,0.82586,0.53011,1.19765,0.85232,1.37927,0.0006536,0.0006536,0.0006536
70,91510,1.00614,0.94146,1.26642,0.80575,0.86364,0.80115,0.51143,1.17867,0.89905,1.38065,0.0006338,0.0006338,0.0006338
71,92194.7,0.99934,0.90737,1.26376,0.798,0.87538,0.81547,0.51813,1.17634,0.89207,1.35451,0.000614,0.000614,0.000614
72,92967.8,0.98966,0.93746,1.26836,0.82634,0.86514,0.827,0.53715,1.13357,0.84979,1.33081,0.0005942,0.0005942,0.0005942
73,93713.5,0.98923,0.9048,1.26349,0.84964,0.89898,0.83037,0.53891,1.12605,0.83137,1.32679,0.0005744,0.0005744,0.0005744
74,94433.5,0.97077,0.89412,1.24064,0.82013,0.88068,0.8233,0.53579,1.1355,0.81162,1.33398,0.0005546,0.0005546,0.0005546
75,95182.8,0.95983,0.90175,1.23948,0.83485,0.875,0.8132,0.54009,1.14379,0.8522,1.32424,0.0005348,0.0005348,0.0005348
